L1 Size,L2 Size,L1 Assoc,L2 Assoc,Block Size,Workload,Policy,L1 Hit Rate,L2 Hit Rate,AMAT,L1 Cold Misses,L2 Cold Misses
64,64,1,1,4,sequential,LRU,1.0,0,56.0,16,16
64,64,1,1,4,sequential,FIFO,1.0,0,56.0,16,16
64,64,1,1,4,looping,LRU,1.0,0,9.8,16,16
64,64,1,1,4,looping,FIFO,1.0,0,9.8,16,16
64,64,1,1,4,random,LRU,1.0,0,52.7,16,16
64,64,1,1,4,random,FIFO,1.0,0,53.8,16,16
64,64,1,1,8,sequential,LRU,1.0,0,56.0,8,8
64,64,1,1,8,sequential,FIFO,1.0,0,56.0,8,8
64,64,1,1,8,looping,LRU,1.0,0,56.0,8,8
64,64,1,1,8,looping,FIFO,1.0,0,56.0,8,8
64,64,1,1,8,random,LRU,1.0,0,54.9,8,8
64,64,1,1,8,random,FIFO,1.0,0,53.8,8,8
64,64,1,2,4,sequential,LRU,1.0,0,56.0,16,16
64,64,1,2,4,sequential,FIFO,1.0,0,56.0,16,16
64,64,1,2,4,looping,LRU,1.0,0,9.8,16,16
64,64,1,2,4,looping,FIFO,1.0,0,9.8,16,16
64,64,1,2,4,random,LRU,1.0,0,52.75,16,16
64,64,1,2,4,random,FIFO,1.0,0,50.65,16,16
64,64,1,2,8,sequential,LRU,1.0,0,56.0,8,8
64,64,1,2,8,sequential,FIFO,1.0,0,56.0,8,8
64,64,1,2,8,looping,LRU,1.0,0,56.0,8,8
64,64,1,2,8,looping,FIFO,1.0,0,56.0,8,8
64,64,1,2,8,random,LRU,1.0,0,53.3,8,8
64,64,1,2,8,random,FIFO,1.0,0,53.8,8,8
64,64,1,4,4,sequential,LRU,1.0,0,56.0,16,16
64,64,1,4,4,sequential,FIFO,1.0,0,56.0,16,16
64,64,1,4,4,looping,LRU,1.0,0,9.8,16,16
64,64,1,4,4,looping,FIFO,1.0,0,9.8,16,16
64,64,1,4,4,random,LRU,1.0,0,50.6,16,16
64,64,1,4,4,random,FIFO,1.0,0,52.85,16,16
64,64,1,4,8,sequential,LRU,1.0,0,56.0,8,8
64,64,1,4,8,sequential,FIFO,1.0,0,56.0,8,8
